plan,scenario,daily_operating_cost_yuan,daily_cost_with_capital_yuan,cost_per_ton_nh3_yuan,grid_import_mwh,grid_export_mwh,renewable_available_mwh,curtailment_mwh,curtailment_rate,official_self_use_ratio,official_green_power_ratio,official_export_ratio,all_official_metrics_pass,alk_h2_share
stochastic_24_scenarios,W4_P1,176183.612545814,181900.0967261788,3368.5203097440517,193.1650209458981,264.7034389843086,876.924,0.0,0.0,0.4214759483087217,0.7398696552745597,0.30185448110019636,False,0.3785185185185187
stochastic_24_scenarios,W4_P2,242760.49913581528,248476.9833161801,4601.425616966298,202.42623545082478,13.631895954206817,618.364,0.0,0.0,0.9916393031449992,0.7292499440902821,0.022045099575988925,True,0.39696635029247135
stochastic_24_scenarios,W4_P3,310917.20293980744,316633.68712017225,5863.586798521708,351.85471233113634,1.9602453751618043e-14,452.604,0.0,0.0,1.0517688752198389,0.5466961391086799,4.33103855724166e-17,True,0.36814814814814817
stochastic_24_scenarios,W4_P4,347590.7037409347,353307.18792129954,6542.725702246288,422.6913116660341,4.672033192977707e-14,387.964,0.0,0.0,1.1140466662227024,0.45381144505947646,1.2042440002107687e-16,True,0.38350564102564105
stochastic_24_scenarios,W5_P1,187320.89842260897,193037.38260297378,3574.7663444995146,217.33983826623137,231.1523811137844,819.4200000000001,0.0,0.0,0.46268948793164744,0.7107864134718817,0.28209267666615945,False,0.3807875394792624
stochastic_24_scenarios,W5_P2,257528.1091262354,263244.59330660023,4874.899876048153,249.6591484364206,4.668425576579997e-14,560.86,0.0,0.0,1.066566143269597,0.6615058410841614,8.323691432050774e-17,True,0.3975593131888691
stochastic_24_scenarios,W5_P3,330455.39324064873,336171.87742101355,6225.405137426177,408.39853185690265,-4.0207776018408766e-14,395.1,0.0,0.0,1.0546551059235096,0.47885524772429383,-1.0176607445813405e-16,True,0.36131377578131824
stochastic_24_scenarios,W5_P4,366935.24371262174,372651.72789298656,6900.9579239441955,479.04696822811115,3.674689795775945e-14,330.46000000000004,0.0,0.0,1.1219191645679945,0.38886962757802923,1.1119923124662425e-16,True,0.38027145299145304
stochastic_24_scenarios,W6_P1,210401.65159233526,216118.13577270007,4002.187699494446,244.47200110032884,154.16536649760815,715.76,0.0,0.0,0.6000943602794899,0.6781226073526171,0.2153869544227229,False,0.3856608803834016
stochastic_24_scenarios,W6_P2,289961.7855686105,295678.2697489753,5475.523513869913,349.0482173043704,1.7946117816005448e-14,457.2,0.0,0.0,1.047945154645355,0.5520614058571391,3.925222619423764e-17,True,0.39142411880479516
stochastic_24_scenarios,W6_P3,374233.52599786356,379950.0101782284,7036.1112995968215,518.0538004784646,1.7946117816005448e-14,291.44,0.0,0.0,1.1341422140424444,0.34344102060279436,6.157740123526437e-17,True,0.38291105247410245
stochastic_24_scenarios,W6_P4,412407.2517661243,418123.7359464891,7743.032147157205,584.1796981105017,8.941360272967004e-15,226.8,0.0,0.0,1.1951908496456227,0.26518593363863857,3.9423987094210775e-17,False,0.387111111111111
